Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n94,n104,Undirected,e453,,,1,1
n95,n104,Undirected,e454,,,1,1
n96,n104,Undirected,e455,,,1,1
n97,n104,Undirected,e456,,,1,1
n98,n104,Undirected,e457,,,1,1
n2,n104,Undirected,e458,,,1,1
n99,n104,Undirected,e459,,,1,1
n100,n104,Undirected,e460,,,1,1
n101,n104,Undirected,e461,,,1,1
n102,n104,Undirected,e462,,,1,1
n103,n104,Undirected,e463,,,1,1
n92,n103,Undirected,e464,,,1,1
n93,n103,Undirected,e465,,,1,1
n94,n103,Undirected,e466,,,1,1
n95,n103,Undirected,e467,,,1,1
n96,n103,Undirected,e468,,,1,1
n97,n103,Undirected,e469,,,1,1
n98,n103,Undirected,e470,,,1,1
n2,n103,Undirected,e471,,,1,1
n99,n103,Undirected,e472,,,1,1
n100,n103,Undirected,e473,,,1,1
n101,n103,Undirected,e474,,,1,1
n102,n103,Undirected,e475,,,1,1
n92,n102,Undirected,e476,,,1,1
n93,n102,Undirected,e477,,,1,1
n94,n102,Undirected,e478,,,1,1
n95,n102,Undirected,e479,,,1,1
n96,n102,Undirected,e480,,,1,1
n97,n102,Undirected,e481,,,1,1
n98,n102,Undirected,e482,,,1,1
n2,n102,Undirected,e483,,,1,1
n99,n102,Undirected,e484,,,1,1
n100,n102,Undirected,e485,,,1,1
n101,n102,Undirected,e486,,,1,1
n92,n101,Undirected,e487,,,1,1
n93,n101,Undirected,e488,,,1,1
n94,n101,Undirected,e489,,,1,1
n95,n101,Undirected,e490,,,1,1
n96,n101,Undirected,e491,,,1,1
n97,n101,Undirected,e492,,,1,1
n98,n101,Undirected,e493,,,1,1
n2,n101,Undirected,e494,,,1,1
n99,n101,Undirected,e495,,,1,1
n100,n101,Undirected,e496,,,1,1
n92,n100,Undirected,e497,,,1,1
n93,n100,Undirected,e498,,,1,1
n94,n100,Undirected,e499,,,1,1
n95,n100,Undirected,e500,,,1,1
n96,n100,Undirected,e501,,,1,1
n97,n100,Undirected,e502,,,1,1
n98,n100,Undirected,e503,,,1,1
n2,n100,Undirected,e504,,,1,1
n99,n100,Undirected,e505,,,1,1
